broker,direction,district,fecha_publicacion,idCliente,lat,lon,portal,supTotal,supUtil,tipo,title,url,valor,vivienda
Sherpas Propiedades,Santa Isabel 951 Pasos Del Metro Parqu,santiago,05-09-2019,5056238,-33.4508018,-70.6485977,Portal Inmobiliario,22,1,arriendo,Santa Isabel 951 Pasos Del Metro Parqu,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5056238-santa-isabel-951-pasos-del-metro-parqu-uda,270000,departamento
Gesec Propiedades Spa,"Mosqueto 429, Santiago - Departamento 1401",santiago,19-11-2019,5194903,-33.437397,-70.6441498,Portal Inmobiliario,55,55,arriendo,"Mosqueto 429, Santiago - Departamento 1401",https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5194903-mosqueto-429-santiago-departamento-1401-uda,500000,departamento
Pedro Faundez,Metro Toesca,santiago,09-12-2019,5267053,-33.4489784,-70.6691742,Portal Inmobiliario,43,40,arriendo,Metro Toesca,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5267053-metro-toesca-uda,430000,departamento
Christian Bernaldo De Quiros,Metros Bellas Artes Y Plza. De Armas,santiago,03-12-2019,5159562,-33.4345856,-70.6485672,Portal Inmobiliario,70,70,arriendo,Metros Bellas Artes Y Plza. De Armas,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5159562-metros-bellas-artes-y-plza-de-armas-uda,500000,departamento
Jaime Aguila,"Santa Elena 1722, Santiago",santiago,25-11-2019,5227705,-33.4663658,-70.6278839,Portal Inmobiliario,34,34,arriendo,"Santa Elena 1722, Santiago",https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5227705-santa-elena-1722-santiago-uda,300000,departamento
Propiedades La Viña Ltda.,Vicuña Mackenna 563 - Departamento 1301 B,santiago,11-12-2019,5278675,-33.4484024,-70.6322021,Portal Inmobiliario,100,100,arriendo,Vicuña Mackenna 563 - Departamento 1301 B,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5278675-vicuna-mackenna-563-departamento-1301-b-uda,480000,departamento
Eugenia Stoltze,"Nueva San Martín 1490, Santiago",santiago,03-12-2019,5250897,-33.4436531,-70.6572876,Portal Inmobiliario,48,48,arriendo,"Nueva San Martín 1490, Santiago",https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5250897-nueva-san-martin-1490-santiago-uda,350000,departamento
Medina & Cia. Propiedades,Morande  / Rosas,santiago,13-12-2019,5284194,-33.4352074,-70.6542816,Portal Inmobiliario,33,33,arriendo,Morande  / Rosas,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5284194-morande-rosas-uda,270000,departamento
Javier Cataldo,"Avenida Santa Rosa 325, Santiago - Departamento 1311",santiago,09-12-2019,5268211,-33.4486389,-70.6449738,Portal Inmobiliario,67,67,arriendo,"Avenida Santa Rosa 325, Santiago - Departamento 1311",https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5268211-avenida-santa-rosa-325-santiago-departamento-1311-uda,430000,departamento
Rk Propiedades,Marin / Av. Portugal,santiago,12-12-2019,5204067,-33.4459686,-70.6373444,Portal Inmobiliario,35,35,arriendo,Marin / Av. Portugal,https://www.portalinmobiliario.com/arriendo/departamento/santiago-metropolitana/5204067-marin-av-portugal-uda,285000,departamento
